iter	Passed	Remaining
0	6	1262
1	8	810
2	10	663
3	11	584
4	13	535
5	15	500
6	17	470
7	18	447
8	20	436
9	22	420
10	23	405
11	25	399
12	27	389
13	28	376
14	29	365
15	31	359
16	32	350
17	34	344
18	35	337
19	36	330
20	38	325
21	39	320
22	41	316
23	42	314
24	44	309
25	45	304
26	46	299
27	47	294
28	49	289
29	50	286
30	51	282
31	53	280
32	54	277
33	56	275
34	57	272
35	59	269
36	60	266
37	61	264
38	63	260
39	64	258
40	66	256
41	67	254
42	69	252
43	70	249
44	71	246
45	73	245
46	75	244
47	76	243
48	78	240
49	79	238
50	80	235
51	82	233
52	83	232
53	85	230
54	86	228
55	87	225
56	88	223
57	90	221
58	91	218
59	92	216
60	94	214
61	95	212
62	96	210
63	98	208
64	99	206
65	101	205
66	102	203
67	103	201
68	104	198
69	105	196
70	107	194
71	108	192
72	109	190
73	110	188
74	112	187
75	114	186
76	116	186
77	118	185
78	119	183
79	120	181
80	122	179
81	123	178
82	125	177
83	127	176
84	129	175
85	131	174
86	132	172
87	134	170
88	135	168
89	136	167
90	137	165
91	139	163
92	140	161
93	141	159
94	143	158
95	144	156
96	145	154
97	147	153
98	148	151
99	149	149
100	151	148
101	152	146
102	154	145
103	155	143
104	157	142
105	158	140
106	159	138
107	160	136
108	162	135
109	163	133
110	164	132
111	165	130
112	167	128
113	168	127
114	169	125
115	170	123
116	171	121
117	173	120
118	174	118
119	175	117
120	177	115
121	178	114
122	179	112
123	180	110
124	181	109
125	182	107
126	184	105
127	185	104
128	187	103
129	189	101
130	190	100
131	191	98
132	192	97
133	194	95
134	195	94
135	196	92
136	197	90
137	198	89
138	200	87
139	201	86
140	202	84
141	203	83
142	204	81
143	205	80
144	206	78
145	207	76
146	209	75
147	210	73
148	211	72
149	212	70
150	213	69
151	214	67
152	216	66
153	217	64
154	218	63
155	219	61
156	220	60
157	221	59
158	223	57
159	224	56
160	225	54
161	226	53
162	228	51
163	230	50
164	232	49
165	233	47
166	234	46
167	235	44
168	236	43
169	238	42
170	239	40
171	241	39
172	242	37
173	243	36
174	244	34
175	245	33
176	246	32
177	247	30
178	249	29
179	250	27
180	251	26
181	252	24
182	253	23
183	254	22
184	256	20
185	257	19
186	258	17
187	259	16
188	260	15
189	261	13
190	263	12
191	264	11
192	265	9
193	266	8
194	267	6
195	269	5
196	270	4
197	271	2
198	272	1
199	274	0
